"","content","video_name.VIDEO_NAMEEminem - Love The Way You Lie ft. Rihanna","video_name.VIDEO_NAMEKaty Perry - Roar","video_name.VIDEO_NAMELMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","video_name.VIDEO_NAMEPSY - GANGNAM STYLE(?????) M/V","video_name.VIDEO_NAMEShakira - Waka Waka","class","date_missing","year","month","day","hour","minute","second","week","quarter","day_of_year","week_of_year","weekend","hour_sin","hour_cos","weekday_num","weekday_sin","weekday_cos","month_sin","month_cos","author_freq","cpt_ratio","has_url","contains_out","contains_check","contains_please","contains_youtube","contains_subscribe","contains_video","contains_channel","contains_money","contains_follow","word_count"
"1","I dont even watch it anymore i just come here to check on 2 Billion or not",0,0,0,1,0,0,0,2014, 1,19, 0,36,25, 3,1, 19, 3,1, 0.000000e+00, 1.000000e+00,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,0.035087719,0,0,1,0,0,0,0,0,0,0, 17
"2","i hate rap",1,0,0,0,0,0,0,2015, 5,23, 7,17, 9,21,2,143,21,1, 9.659258e-01,-2.588190e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  3
"3","I loved, she is amazing.. OMG your eyes*_*",0,1,0,0,0,0,0,2014, 9, 9, 0,43,52,36,3,252,37,0, 0.000000e+00, 1.000000e+00,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.137931034,0,0,0,0,0,0,0,0,0,0,  8
"4","song is bad",1,0,0,0,0,0,0,2015, 5,24, 7,35,13,21,2,144,21,1, 9.659258e-01,-2.588190e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  3
"5","tension",0,0,1,0,0,0,0,2015, 5,23,23,26, 5,21,2,143,21,1,-2.588190e-01, 9.659258e-01,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"6","love this song",0,0,1,0,0,0,0,2014, 7,22, 0,26,50,29,3,203,30,0, 0.000000e+00, 1.000000e+00,3, 4.338837e-01,-0.9009689,-5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  3
"7","Holy crap. 800,000,000 views?!",1,0,0,0,0,0,0,2015, 5,26, 1,15,53,21,2,146,22,0, 2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.076923077,0,0,0,0,0,0,0,0,0,0,  4
"8","Cool",1,0,0,0,0,0,0,2015, 5,29, 2,13, 7,22,2,149,22,0, 5.000000e-01, 8.660254e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.250000000,0,0,0,0,0,0,0,0,0,0,  1
"9","Best for partying",0,0,1,0,0,0,0,2015, 5,17,12,44,46,20,2,137,20,1, 1.224606e-16,-1.000000e+00,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.066666667,0,0,0,0,0,0,0,0,0,0,  3
"10","Shakira",0,0,0,0,1,0,0,2015, 5,22, 0,36, 4,21,2,142,21,0, 0.000000e+00, 1.000000e+00,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.142857143,0,0,0,0,0,0,0,0,0,0,  1
"11","Something to dance to, even if your sad JUST dance!! PSY - GANGNAM STYLE () M/V: http://youtu.be/9bZkp7q19f0",0,0,0,1,0,0,0,2014,11,14,12,35,38,46,4,318,46,0, 1.224606e-16,-1.000000e+00,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.310810811,1,0,0,0,0,0,0,0,0,0, 17
"12","Check out this playlist on YouTube:",0,0,1,0,0,1,0,2015, 3,13, 0,27,41,11,1, 72,11,0, 0.000000e+00, 1.000000e+00,6,-7.818315e-01, 0.6234898, 1.000000e+00, 6.123032e-17,1,0.103448276,0,1,0,0,0,0,0,0,0,0,  6
"13","Share this video.. This song can beat PSY - Gangnam Style!",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.159090909,0,0,0,0,0,0,1,0,0,0, 11
"14","For Christmas Song visit my channel! ;)",0,0,0,1,0,1,0,2014,11, 6,19,40,59,45,4,310,45,0,-9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.100000000,0,0,0,0,0,0,0,1,0,0,  7
"15","Check out my SEXY VIDEO :*",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.526315789,0,1,0,0,0,0,0,0,0,0,  6
"16","Add me here...https://www.facebook.com/TLouXmusic",0,0,0,1,0,1,0,2014,11, 5,22,41,42,45,4,309,45,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.105263158,1,0,0,0,0,0,0,0,0,0,  3
"17","psy=korean",0,0,0,1,0,0,0,2014, 1,21, 8,22, 6, 3,1, 21, 4,0, 8.660254e-01,-5.000000e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"18","Please subscribe to me",0,0,0,1,0,1,0,2014,11, 7, 1,22, 2,45,4,311,45,0, 2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.052631579,0,0,0,0,0,1,0,0,0,0,  4
"19","I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him....",1,0,0,0,0,0,0,2015, 5,26, 5,32,15,21,2,146,22,0, 9.659258e-01, 2.588190e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.011627907,0,0,0,0,0,0,0,0,0,0, 24
"20","Charlie from Lost!",1,0,0,0,0,0,0,2015, 5,20,17,41,30,20,2,140,21,0,-9.659258e-01,-2.588190e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.133333333,0,0,0,0,0,0,0,0,0,0,  3
"21","Hi everyone! Do you like music? Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so don&#39;t miss out. Please SUBSCRIBE too asit does help us out a lot. Just takes one click. ->",0,0,1,0,0,1,0,2014,11, 4,20,26,48,44,4,308,45,0,-8.660254e-01, 5.000000e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,3,0.111111111,0,1,1,0,0,0,0,1,0,0, 45
"22","I like shakira..",0,0,0,0,1,0,0,2015, 5,27,21,31,38,21,2,147,22,0,-7.071068e-01, 7.071068e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.083333333,0,0,0,0,0,0,0,0,0,0,  3
"23","thumbs up if you think this should have 1 billion views",1,0,0,0,0,0,0,2015, 5,21, 9,48, 6,21,2,141,21,0, 7.071068e-01,-7.071068e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 11
"24","Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz ""yeah"" i have a dream a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",0,0,0,0,1,1,0,2013,10, 9, 3,22,24,41,4,282,41,0, 7.071068e-01, 7.071068e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.067183463,0,1,1,1,0,0,0,0,0,0,100
"25","You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",0,0,0,0,1,1,0,2013,10,18,19,45,43,42,4,291,42,0,-9.659258e-01, 2.588190e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,2,0.138888889,0,1,1,0,0,0,0,0,1,0, 62
"26","check out ""starlitnightsky"" channel to see epic videos",0,0,0,1,0,1,0,2014,11, 5,20,33,15,45,4,309,45,0,-8.660254e-01, 5.000000e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.000000000,0,1,1,0,0,0,0,1,0,0,  8
"27","NICE :3",0,0,1,0,0,0,0,2014, 7,21, 4,24,24,29,3,202,30,0, 8.660254e-01, 5.000000e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  2
"28","I loved it so much because you get to stand fear .",0,1,0,0,0,0,0,2014, 9,10, 1,35,54,37,3,253,37,0, 2.588190e-01, 9.659258e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.026315789,0,0,0,0,0,0,0,0,0,0, 12
"29","My three bigger secrets are: I don't think I'm good enough for me skinny size. I'm bisexual and I sweat really freaking bad when I'm nervous. - check out Secret by Austin Mahone's NEW Single!",0,1,0,0,0,1,0,2014, 9,25,19,32,29,39,3,268,39,0,-9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.088435374,0,1,1,0,0,0,0,0,0,0, 35
"30","Its almost Katys birthday! October 25th Lets say happy birthday to katy!!!",0,1,0,0,0,0,0,2014, 9,14, 9,47,10,37,3,257,37,1, 7.071068e-01,-7.071068e-01,1, 7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.070175439,0,0,0,0,0,0,0,0,0,0, 12
"31","This video will get to 2 billion just because of people checking if it has hit 2 billion yet.",0,0,0,1,0,0,0,2014, 1,20,17,22,53, 3,1, 20, 4,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.013888889,0,0,0,0,0,0,1,0,0,0, 19
"32","subscribe to my feed",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,1,0,0,0,0,  4
"33","HAHAA THIS DANCE IS TIGHTTTT I know y&#39;all ""ain&#39;t got time for MY demo man"" but check out some of my stuff Slappers on slappers on bangers! Click that link below to peep game! ENJOY. https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk",0,0,1,0,0,1,0,2014, 9,13, 9, 7,27,37,3,256,37,1, 7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.113333333,1,1,1,0,0,0,0,0,0,0, 36
"34","I made a gaming channel (Unique right?) :L Angry Minecraft!",0,0,0,1,0,1,0,2014,11, 4, 0, 0,57,44,4,308,45,0, 0.000000e+00, 1.000000e+00,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.111111111,0,0,0,0,0,0,0,1,0,0, 10
"35","Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained Gods righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth.",0,0,0,0,1,1,0,2013,10, 4, 2,26, 8,40,4,277,40,0, 5.000000e-01, 8.660254e-01,6,-7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.043147208,0,0,0,0,0,0,0,0,0,0, 95
"36","i totally love this song. absolutely fantastic! i love ya shakira!",0,0,0,0,1,0,0,2015, 5,25,14,43,55,21,2,145,22,0,-5.000000e-01,-8.660254e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 11
